phylo_level_val	Lineage	Soilmicrobialcommunitie3300051019	Soilmicrobialcommunitie3300051162	Soilmicrobialcommunitie3300051161	Soilmicrobialcommunitie3300051208	Soilmicrobialcommunitie3300051207	Soilmicrobialcommunitie3300051206	Soilmicrobialcommunitie3300052722	Soilmicrobialcommunitie3300052920	Soilmicrobialcommunitie3300052919	Soilmicrobialcommunitie3300056874	Soilmicrobialcommunitie3300056859	Soilmicrobialcommunitie3300056873	Soilmicrobialcommunitie3300056968	Soilmicrobialcommunitie3300056860	Soilmicrobialcommunitie3300056967	Soilmicrobialcommunitie3300060290	Soilmicrobialcommunitie3300056875	Soilmicrobialcommunitie3300056969	Soilmicrobialcommunitie3300056594	Soilmicrobialcommunitie3300056862	Soilmicrobialcommunitie3300056861	Soilmicrobialcommunitie3300056611	Soilmicrobialcommunitie3300056619	Soilmicrobialcommunitie3300056620	Soilmicrobialcommunitie3300056618	Soilmicrobialcommunitie3300056612	Soilmicrobialcommunitie3300056595	Soilmicrobialcommunitie3300060274	Soilmicrobialcommunitie3300061209	Soilmicrobialcommunitie3300061208	Soilmicrobialcommunitie3300060272	Soilmicrobialcommunitie3300060271	Soilmicrobialcommunitie3300060275	Soilmicrobialcommunitie3300060276	Soilmicrobialcommunitie3300061215	Soilmicrobialcommunitie3300061210
Bacteria:Bacillota_A:Clostridia:SK-Y3	Bacteria:Bacillota_A:Clostridia:SK-Y3	6987	4016	2507	1657	1678	2188	3809	3914	2011	707	125	251	427	160	179	283	271	131	494	338	141	305	451	166	437	196	124	107	518	223	182	160	292	285	446	157
Bacteria:Planctomycetota:Phycisphaerae:Phycisphaerales	Bacteria:Planctomycetota:Phycisphaerae:Phycisphaerales	6819	2112	920	481	964	1075	1847	2487	707	386	47	115	215	79	89	118	83	108	380	109	66	393	283	86	367	85	116	47	300	109	52	50	107	105	233	88
Bacteria:Bacillota_E:Thermaerobacteria:Thermaerobacterales	Bacteria:Bacillota_E:Thermaerobacteria:Thermaerobacterales	6775	4351	3318	2786	4387	4915	5292	5493	3341	452	131	231	437	319	348	258	247	370	420	401	250	322	381	259	379	310	254	215	613	450	178	244	311	300	531	402
Bacteria:Bacillota_A:Thermoanaerobacteria:Caldicellulosiruptorales	Bacteria:Bacillota_A:Thermoanaerobacteria:Caldicellulosiruptorales	6718	3475	2232	1001	1032	878	3319	3071	1027	511	107	200	374	100	98	264	198	91	478	268	103	322	341	159	419	135	69	60	443	151	152	141	237	247	326	105
Archaea:Thermoplasmatota:Thermoplasmata:Thermoplasmatales	Archaea:Thermoplasmatota:Thermoplasmata:Thermoplasmatales	6683	2861	1559	538	304	250	2207	2166	356	276	79	74	194	27	26	189	96	24	271	176	50	486	285	124	521	75	22	20	248	43	137	99	193	132	157	26
Bacteria:Pseudomonadota:Gammaproteobacteria:Acidithiobacillales	Bacteria:Pseudomonadota:Gammaproteobacteria:Acidithiobacillales	6654	4159	4957	8953	13185	16175	9429	12136	11799	748	237	805	682	1197	1379	385	988	1330	547	887	858	751	908	743	496	947	1072	900	1148	1558	295	794	672	480	1095	1276
Bacteria:Pseudomonadota:Gammaproteobacteria:Beggiatoales	Bacteria:Pseudomonadota:Gammaproteobacteria:Beggiatoales	6585	4264	3103	3582	4904	5816	6721	7143	4741	651	196	377	557	516	585	333	353	499	514	545	405	342	567	347	398	429	374	336	908	689	211	384	488	435	743	476
Archaea:Thermoproteota:Nitrososphaeria:Conexivisphaerales	Archaea:Thermoproteota:Nitrososphaeria:Conexivisphaerales	6465	2438	1022	369	206	228	1459	1334	256	255	86	77	182	21	32	174	101	14	272	157	29	638	254	116	752	58	24	17	152	36	125	56	142	123	145	28
Archaea:Thermoproteota:Korarchaeia:Korarchaeales	Archaea:Thermoproteota:Korarchaeia:Korarchaeales	6409	2763	1308	519	477	343	1807	1626	446	275	77	86	212	26	40	166	96	15	294	155	43	579	258	97	645	66	18	35	214	48	134	51	151	152	144	31
Bacteria:Aquificota:Aquificae:Hydrogenothermales	Bacteria:Aquificota:Aquificae:Hydrogenothermales	6254	3034	2036	1420	1708	1761	3536	3103	1572	455	133	244	352	164	218	253	236	165	373	325	181	427	406	227	414	205	175	115	481	248	181	189	261	260	388	181
