phylo_level_val	Lineage	Soilmicrobialcommunitie3300051019	Soilmicrobialcommunitie3300051162	Soilmicrobialcommunitie3300051161	Soilmicrobialcommunitie3300051208	Soilmicrobialcommunitie3300051207	Soilmicrobialcommunitie3300051206	Soilmicrobialcommunitie3300052722	Soilmicrobialcommunitie3300052920	Soilmicrobialcommunitie3300052919	Soilmicrobialcommunitie3300056874	Soilmicrobialcommunitie3300056859	Soilmicrobialcommunitie3300056873	Soilmicrobialcommunitie3300056968	Soilmicrobialcommunitie3300056860	Soilmicrobialcommunitie3300056967	Soilmicrobialcommunitie3300060290	Soilmicrobialcommunitie3300056875	Soilmicrobialcommunitie3300056969	Soilmicrobialcommunitie3300056594	Soilmicrobialcommunitie3300056862	Soilmicrobialcommunitie3300056861	Soilmicrobialcommunitie3300056611	Soilmicrobialcommunitie3300056619	Soilmicrobialcommunitie3300056620	Soilmicrobialcommunitie3300056618	Soilmicrobialcommunitie3300056612	Soilmicrobialcommunitie3300056595	Soilmicrobialcommunitie3300060274	Soilmicrobialcommunitie3300061209	Soilmicrobialcommunitie3300061208	Soilmicrobialcommunitie3300060272	Soilmicrobialcommunitie3300060271	Soilmicrobialcommunitie3300060275	Soilmicrobialcommunitie3300060276	Soilmicrobialcommunitie3300061215	Soilmicrobialcommunitie3300061210
Bacteria:Actinomycetota:Acidimicrobiia:IMCC26256	Bacteria:Actinomycetota:Acidimicrobiia:IMCC26256	2700	1522	1113	11818	27181	38140	1705	2192	7582	255	23	249	152	1588	2108	113	85	2611	148	419	865	75	478	731	70	772	1416	931	212	1843	49	722	122	93	266	2641
Bacteria:Actinomycetota:Actinomycetia:Nitriliruptorales	Bacteria:Actinomycetota:Actinomycetia:Nitriliruptorales	2431	1939	1804	3323	5560	7399	3422	3730	3298	254	43	127	205	413	515	113	110	576	170	252	296	65	261	240	75	311	363	308	332	646	73	280	208	154	345	595
Bacteria:Bdellovibrionota:Bdellovibrionia:Bdellovibrionales	Bacteria:Bdellovibrionota:Bdellovibrionia:Bdellovibrionales	2423	1613	841	694	1131	1434	1480	1898	952	227	67	99	160	124	157	130	95	153	165	158	88	106	180	101	161	113	99	74	201	148	78	85	129	122	190	140
Bacteria:Pseudomonadota:Gammaproteobacteria:Ectothiorhodospirales_A	Bacteria:Pseudomonadota:Gammaproteobacteria:Ectothiorhodospirales_A	2397	1647	2197	4338	5668	6310	5364	5769	4318	229	125	247	260	431	521	146	208	514	168	347	364	107	348	316	142	381	387	316	499	601	137	355	276	206	386	484
Bacteria:Bacillota:Bacilli:Tepidibacillales	Bacteria:Bacillota:Bacilli:Tepidibacillales	2355	1357	933	604	538	468	1476	1385	363	203	64	58	154	44	52	123	90	46	184	127	40	106	124	84	159	70	43	34	190	68	51	50	89	109	136	60
Bacteria:Patescibacteria:Microgenomatia:Levybacterales	Bacteria:Patescibacteria:Microgenomatia:Levybacterales	2346	785	227	100	97	125	349	408	94	264	17	24	74	15	24	109	17	12	181	37	12	34	76	10	117	14	10	9	123	26	24	9	27	52	54	16
Bacteria:Pseudomonadota:Zetaproteobacteria:Mariprofundales	Bacteria:Pseudomonadota:Zetaproteobacteria:Mariprofundales	2327	1804	1751	2450	3239	3673	3336	3761	3195	309	89	336	257	343	412	164	249	351	249	379	281	226	329	253	179	325	319	245	422	438	153	266	254	206	468	330
Bacteria:Pseudomonadota:Gammaproteobacteria:Thiotrichales	Bacteria:Pseudomonadota:Gammaproteobacteria:Thiotrichales	2286	1869	2094	4538	5615	7516	4746	6817	6620	245	107	568	263	531	612	151	265	609	223	383	383	137	263	280	145	424	436	415	558	791	168	380	342	239	477	527
Bacteria:Pseudomonadota:Gammaproteobacteria:JABDLF01	Bacteria:Pseudomonadota:Gammaproteobacteria:JABDLF01	2242	2550	1799	3278	4823	5719	5214	4433	3687	188	87	114	224	446	503	113	118	576	197	295	350	57	280	279	89	308	308	306	478	515	109	303	264	195	344	527
Bacteria:Cyanobacteriota:Cyanobacteriia:Pseudanabaenales	Bacteria:Cyanobacteriota:Cyanobacteriia:Pseudanabaenales	2209	1500	1113	1044	1425	1628	1810	2647	1211	205	57	136	192	164	168	94	124	169	182	188	122	133	187	118	144	131	115	102	332	242	81	128	137	168	265	176
Bacteria:Bacillota:Bacilli:DSM-22653	Bacteria:Bacillota:Bacilli:DSM-22653	2205	1384	825	546	747	1026	1623	1317	603	154	34	64	153	75	86	105	79	80	152	92	54	107	128	76	118	68	64	52	170	103	52	66	73	102	149	90
Bacteria:Coprothermobacterota:Coprothermobacteria:Coprothermobacterales	Bacteria:Coprothermobacterota:Coprothermobacteria:Coprothermobacterales	2167	1107	706	344	314	191	1446	1228	367	123	33	52	123	22	24	81	52	22	159	69	31	102	95	48	123	41	24	13	131	43	67	41	71	72	110	21
Bacteria:Bacillota:Bacilli:Bacillales_G	Bacteria:Bacillota:Bacilli:Bacillales_G	2091	1484	944	588	564	659	1546	1276	553	168	46	71	141	63	80	88	81	63	128	124	39	102	121	57	157	80	48	37	173	105	77	74	111	109	150	75
Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalomonadales	Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalomonadales	2025	1491	2952	7565	9803	12620	8080	9881	8812	222	151	432	327	913	1016	150	348	1028	193	594	657	136	552	543	144	703	758	662	717	1069	218	632	433	277	599	826
Bacteria:Nitrospirota_A:Leptospirillia:Leptospirillales	Bacteria:Nitrospirota_A:Leptospirillia:Leptospirillales	2010	1204	1167	783	1046	901	1622	1473	857	194	54	130	151	117	132	114	108	130	148	166	103	180	192	113	173	118	100	72	194	143	80	113	110	107	182	132
Bacteria:Bacillota:Bacilli:Erysipelotrichales	Bacteria:Bacillota:Bacilli:Erysipelotrichales	1973	1274	833	438	478	640	1424	1433	511	208	44	79	153	58	72	94	65	56	176	131	66	94	127	57	107	69	46	43	174	91	52	86	123	133	143	141
Bacteria:Bacillota_E:Sulfobacillia:Sulfobacillales	Bacteria:Bacillota_E:Sulfobacillia:Sulfobacillales	1964	1132	717	523	904	816	1255	1467	632	150	34	59	126	72	84	62	74	80	138	122	61	98	99	50	115	78	55	42	137	99	51	48	84	89	123	86
Bacteria:Armatimonadota:Abditibacteria:Abditibacteriales	Bacteria:Armatimonadota:Abditibacteria:Abditibacteriales	1951	1317	692	493	902	1085	1288	1294	756	169	23	84	118	69	113	58	57	110	133	89	63	108	120	77	103	85	66	45	182	101	54	61	89	69	133	94
Bacteria:Cyanobacteriota:Cyanobacteriia:Thermostichales	Bacteria:Cyanobacteriota:Cyanobacteriia:Thermostichales	1927	1245	1176	1053	1548	1734	1732	1880	1295	162	39	104	156	133	151	93	97	151	119	149	103	110	149	93	112	128	125	106	226	198	66	115	110	118	193	143
Bacteria:Pseudomonadota:Alphaproteobacteria:Parvibaculales	Bacteria:Pseudomonadota:Alphaproteobacteria:Parvibaculales	1836	1515	1827	3578	6603	7914	2590	3682	3642	362	184	173	264	533	609	227	182	804	170	289	362	47	364	324	110	372	424	364	337	577	98	332	251	160	292	621
Bacteria:Fibrobacterota:Fibrobacteria:Fibrobacterales	Bacteria:Fibrobacterota:Fibrobacteria:Fibrobacterales	1757	839	599	528	686	760	981	1572	769	217	39	81	135	80	76	86	80	67	168	99	54	73	146	64	83	71	50	59	190	100	52	79	98	92	153	232
Archaea:Iainarchaeota:Iainarchaeia:Iainarchaeales	Archaea:Iainarchaeota:Iainarchaeia:Iainarchaeales	1693	1003	496	211	206	83	860	832	114	126	33	35	72	10	21	77	42	7	118	53	14	110	84	33	94	22	13	11	92	15	35	21	43	56	66	16
Bacteria:Bacillota_C:Negativicutes:Acidaminococcales	Bacteria:Bacillota_C:Negativicutes:Acidaminococcales	1690	1247	869	420	734	723	1403	1525	541	171	44	65	161	66	62	106	79	61	128	106	49	94	112	70	98	82	44	45	193	94	61	58	115	88	144	57
Archaea:Halobacteriota:Methanonatronarchaeia:Methanonatronarchaeales	Archaea:Halobacteriota:Methanonatronarchaeia:Methanonatronarchaeales	1675	737	651	199	29	15	780	774	5	77	22	15	44	2	5	55	36	2	78	55	9	53	61	30	70	14	4	1	70	8	34	30	49	44	44	1
Bacteria:Patescibacteria:Microgenomatia:UBA1406	Bacteria:Patescibacteria:Microgenomatia:UBA1406	1643	814	416	112	65	125	531	621	115	180	23	36	63	17	22	83	29	14	100	51	18	75	91	30	91	25	8	8	118	34	33	19	54	57	88	21
Bacteria:Bacillota:Bacilli:Desulfuribacillales	Bacteria:Bacillota:Bacilli:Desulfuribacillales	1625	1003	648	426	479	441	1106	1154	411	131	36	52	118	49	63	81	64	43	98	97	31	78	95	49	64	54	27	28	149	79	43	47	74	92	131	44
Bacteria:Patescibacteria:Paceibacteria:JACQLN01	Bacteria:Patescibacteria:Paceibacteria:JACQLN01	1623	695	277	150	71	32	424	1168	50	118	24	11	49	10	39	54	10	10	158	44	12	62	69	19	119	16	8	6	87	21	24	52	68	38	42	13
Bacteria:Bacillota:Bacilli:Caldalkalibacillales	Bacteria:Bacillota:Bacilli:Caldalkalibacillales	1575	1121	530	327	242	286	991	997	341	167	35	48	107	41	34	58	46	39	114	72	36	88	90	49	109	45	24	23	115	43	35	31	49	70	98	38
Bacteria:Bacillota_D:Proteinivoracia:Proteinivoracales	Bacteria:Bacillota_D:Proteinivoracia:Proteinivoracales	1551	1075	731	503	420	540	1017	1187	385	168	31	49	112	35	39	82	71	43	120	68	32	96	97	58	124	45	26	19	125	44	36	42	64	74	112	32
Bacteria:Pseudomonadota:Alphaproteobacteria:Sneathiellales	Bacteria:Pseudomonadota:Alphaproteobacteria:Sneathiellales	1544	1098	968	1784	3426	4174	1509	2098	1864	419	288	108	247	315	373	345	110	393	139	213	229	38	301	258	139	269	252	184	176	297	27	193	125	113	174	401
Bacteria:Pseudomonadota:Gammaproteobacteria:Coxiellales	Bacteria:Pseudomonadota:Gammaproteobacteria:Coxiellales	1540	768	428	296	271	265	612	691	103	77	33	40	70	31	32	51	53	27	69	58	25	87	79	49	98	45	14	16	79	38	41	26	49	54	65	31
Bacteria:Bacillota_A:Clostridia:Lutisporales	Bacteria:Bacillota_A:Clostridia:Lutisporales	1495	981	598	371	256	356	895	1047	383	101	31	41	100	24	22	58	47	18	88	45	21	51	74	17	79	36	17	20	126	37	32	30	50	67	116	25
Bacteria:Verrucomicrobiota:Lentisphaeria:Lentisphaerales	Bacteria:Verrucomicrobiota:Lentisphaeria:Lentisphaerales	1475	737	466	303	283	405	1109	896	497	101	25	52	78	34	36	50	58	31	78	59	31	59	82	42	66	46	23	17	85	59	31	27	65	63	101	41
Bacteria:Elusimicrobiota:Elusimicrobia:Elusimicrobiales	Bacteria:Elusimicrobiota:Elusimicrobia:Elusimicrobiales	1464	944	533	332	353	453	874	1137	446	140	35	69	107	52	53	76	53	33	129	87	36	99	97	36	102	41	30	24	145	53	64	43	82	70	115	36
Bacteria:Pseudomonadota:Magnetococcia:Magnetococcales	Bacteria:Pseudomonadota:Magnetococcia:Magnetococcales	1447	1045	1023	1412	1643	1969	1819	2611	1979	162	51	121	147	147	140	93	102	135	148	134	115	100	131	97	98	131	123	93	225	211	78	109	133	117	189	151
Bacteria:Bdellovibrionota:Oligoflexia:Oligoflexales	Bacteria:Bdellovibrionota:Oligoflexia:Oligoflexales	1445	988	675	1058	1568	1795	1335	1673	1209	161	35	103	132	152	188	85	88	197	100	149	119	90	125	117	85	243	112	99	204	179	43	116	88	99	159	175
Bacteria:Myxococcota:Polyangia:Palsa-1104	Bacteria:Myxococcota:Polyangia:Palsa-1104	1418	790	595	692	1201	1161	1068	1156	768	121	21	54	88	87	110	55	76	132	86	88	85	53	85	78	59	80	71	62	122	116	38	62	64	67	106	112
Bacteria:Bacillota_C:Negativicutes:DSM-1736	Bacteria:Bacillota_C:Negativicutes:DSM-1736	1416	590	533	204	345	446	886	975	441	116	22	49	72	30	40	66	145	30	83	65	26	44	67	29	58	50	23	32	120	63	34	35	59	70	89	32
Bacteria:Bacillota_C:Negativicutes:Anaeromusales	Bacteria:Bacillota_C:Negativicutes:Anaeromusales	1415	916	473	379	620	562	911	1237	483	101	33	67	95	52	54	65	106	62	97	67	41	75	86	56	74	49	35	38	117	77	30	56	79	67	100	55
Bacteria:Pseudomonadota:Alphaproteobacteria:Zavarziniales	Bacteria:Pseudomonadota:Alphaproteobacteria:Zavarziniales	1406	1023	915	1852	2651	3551	1879	1924	1884	305	187	73	180	248	295	199	105	346	120	172	208	29	201	182	99	198	208	163	196	311	41	166	116	98	190	363
Bacteria:Spirochaetota:Leptospirae:Turneriellales	Bacteria:Spirochaetota:Leptospirae:Turneriellales	1403	801	576	392	306	578	970	1063	525	182	44	86	120	49	69	93	69	43	115	96	41	68	126	56	75	63	34	33	143	69	58	43	99	94	125	36
Bacteria:Bacillota:Bacilli:Bacillales_K	Bacteria:Bacillota:Bacilli:Bacillales_K	1401	765	592	479	522	697	916	990	610	139	35	63	97	66	67	52	49	69	109	83	35	82	92	47	90	63	49	38	128	86	41	47	73	78	93	74
Bacteria:Bacillota_B:Peptococcia:Unclassified	Bacteria:Bacillota_B:Peptococcia:Unclassified	1317	946	756	437	514	527	909	1257	587	129	38	50	99	42	50	55	56	45	90	96	35	76	98	40	91	55	35	29	120	59	46	39	65	79	106	46
Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalobacterales	Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalobacterales	1290	1101	1585	4933	7545	9542	3998	4779	3671	150	82	208	178	674	725	78	186	751	110	489	554	59	474	481	76	546	617	557	376	774	123	520	249	157	386	654
Bacteria:Spirochaetota:Brachyspirae:Brachyspirales	Bacteria:Spirochaetota:Brachyspirae:Brachyspirales	1287	705	457	298	481	450	820	935	404	111	27	49	78	35	34	46	49	24	93	63	28	59	65	37	65	56	32	22	111	58	32	36	57	62	95	33
Bacteria:Thermotogota:Thermotogae:Mesoaciditogales	Bacteria:Thermotogota:Thermotogae:Mesoaciditogales	1268	634	421	241	239	283	709	824	250	112	16	49	78	24	31	44	26	34	80	56	15	61	61	29	86	38	17	12	75	40	29	17	39	50	64	30
Bacteria:Pseudomonadota:Gammaproteobacteria:Immundisolibacterales	Bacteria:Pseudomonadota:Gammaproteobacteria:Immundisolibacterales	1262	890	1042	2272	3603	4333	2318	2148	2422	149	52	134	125	297	329	69	103	414	117	181	210	55	170	163	75	218	265	210	228	389	54	179	122	85	217	316
Bacteria:Cyanobacteriota:Vampirovibrionia:Vampirovibrionales	Bacteria:Cyanobacteriota:Vampirovibrionia:Vampirovibrionales	1218	596	428	352	511	537	661	887	407	102	24	53	91	60	71	47	61	80	91	63	41	87	91	40	68	51	54	37	100	73	36	45	64	57	92	65
Bacteria:Patescibacteria:Microgenomatia:0-14-0-10-38-17	Bacteria:Patescibacteria:Microgenomatia:0-14-0-10-38-17	1202	810	305	111	35	13	339	313	25	48	15	14	27	3	3	41	13	3	59	30	3	71	44	10	72	14	3	1	40	9	18	8	22	26	33	3
Bacteria:Pseudomonadota:Gammaproteobacteria:Tenderiales	Bacteria:Pseudomonadota:Gammaproteobacteria:Tenderiales	1167	619	694	2448	3475	4145	1886	2568	2255	116	46	138	121	326	389	66	112	373	82	212	232	77	223	212	63	242	282	234	215	378	74	215	154	86	222	334
Bacteria:Thermodesulfobiota:Thermodesulfobiia:Thermodesulfobiales	Bacteria:Thermodesulfobiota:Thermodesulfobiia:Thermodesulfobiales	1143	718	392	314	350	240	721	793	348	111	31	58	92	21	21	52	69	24	94	78	41	91	76	56	82	51	27	20	107	46	30	35	60	69	97	26
Bacteria:Bacillota_B:Peptococcia:Peptococcales	Bacteria:Bacillota_B:Peptococcia:Peptococcales	1092	488	498	246	331	386	599	713	278	96	17	29	60	26	41	38	44	31	65	56	28	68	54	22	76	41	21	18	66	45	22	29	36	37	70	33
Bacteria:Bacillota:Bacilli:Acholeplasmatales	Bacteria:Bacillota:Bacilli:Acholeplasmatales	1067	511	135	137	77	106	188	327	177	42	8	24	25	8	9	17	21	9	45	19	7	22	29	15	29	12	6	8	33	16	23	12	18	23	29	12
Bacteria:Patescibacteria:Paceibacteria:UBA9936	Bacteria:Patescibacteria:Paceibacteria:UBA9936	1055	587	289	165	34	39	370	693	77	83	25	14	36	9	24	46	17	5	88	26	8	41	59	20	69	13	6	5	69	9	19	26	48	26	23	6
Bacteria:Cyanobacteriota:Cyanobacteriia:Neosynechococcales	Bacteria:Cyanobacteriota:Cyanobacteriia:Neosynechococcales	1046	774	464	308	514	685	828	1055	547	95	20	59	78	62	72	52	47	59	66	71	43	52	62	52	71	61	45	41	141	90	46	52	57	81	112	61
Bacteria:Bacillota:Bacilli:Thermicanales	Bacteria:Bacillota:Bacilli:Thermicanales	1044	754	334	221	304	211	596	630	200	83	17	33	57	35	33	48	30	25	49	50	19	60	57	22	63	33	16	22	69	42	28	28	46	46	66	32
Bacteria:Bdellovibrionota:Bacteriovoracia:Bacteriovoracales	Bacteria:Bdellovibrionota:Bacteriovoracia:Bacteriovoracales	1039	705	583	443	686	702	692	899	536	104	26	42	69	73	102	59	51	90	83	85	53	42	85	69	64	61	61	45	115	132	44	51	81	69	118	82
Bacteria:Bacillota:Bacilli:Staphylococcales	Bacteria:Bacillota:Bacilli:Staphylococcales	1024	744	896	622	506	691	1065	1060	741	135	24	62	95	39	64	54	57	52	101	88	41	74	73	46	54	52	29	36	109	74	44	46	69	58	90	63
Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-19610	Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-19610	929	760	808	3608	6659	8869	1856	2371	2613	106	49	153	89	627	726	50	137	737	85	454	521	38	481	514	54	545	596	522	204	685	46	530	169	66	277	644
Bacteria:Pseudomonadota:Alphaproteobacteria:Geminicoccales	Bacteria:Pseudomonadota:Alphaproteobacteria:Geminicoccales	876	616	582	751	1798	2025	1034	1137	736	162	80	38	122	175	178	105	62	210	92	117	137	33	136	112	75	135	133	123	113	188	31	104	48	78	91	199
Bacteria:Campylobacterota:Campylobacteria:Nautiliales	Bacteria:Campylobacterota:Campylobacteria:Nautiliales	827	515	343	218	270	194	736	682	264	81	17	30	53	27	22	50	43	17	60	42	27	49	55	34	73	23	14	11	80	37	30	29	60	64	59	25
Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalorhabdales	Bacteria:Pseudomonadota:Gammaproteobacteria:Thiohalorhabdales	810	581	431	783	1035	973	856	870	695	62	22	50	65	90	104	40	31	104	49	61	50	35	79	60	28	77	68	58	93	101	19	53	48	39	90	106
Bacteria:Patescibacteria:Paceibacteria:UBA9983_A	Bacteria:Patescibacteria:Paceibacteria:UBA9983_A	804	1138	136	245	33	37	232	276	15	71	11	7	22	5	15	24	6	6	107	17	4	17	41	7	60	3	6	5	73	25	25	18	78	27	21	11
Bacteria:Marinisomatota:Marinisomatia:SCGC-AAA003-L08	Bacteria:Marinisomatota:Marinisomatia:SCGC-AAA003-L08	784	622	345	261	355	351	562	629	271	83	26	50	63	34	44	47	38	41	71	50	35	46	70	37	48	36	28	30	86	50	31	37	46	47	72	53
Bacteria:Myxococcota:Bradymonadia:Bradymonadales	Bacteria:Myxococcota:Bradymonadia:Bradymonadales	743	629	425	517	636	1109	730	904	703	108	6	48	67	62	84	40	34	90	91	58	72	63	65	55	38	69	56	53	113	100	30	29	58	50	85	76
Bacteria:Actinomycetota:Actinomycetia:Acidothermales	Bacteria:Actinomycetota:Actinomycetia:Acidothermales	667	746	867	1826	2656	3770	1031	1662	2231	88	19	96	78	189	205	41	84	233	64	124	123	39	100	96	48	165	169	133	145	251	34	146	105	58	151	208
Bacteria:Patescibacteria:ABY1:UBA2591	Bacteria:Patescibacteria:ABY1:UBA2591	648	364	125	54	26	29	275	416	23	45	9	11	35	8	4	21	13	4	62	15	5	19	23	11	37	6	5	1	40	7	10	16	26	20	25	2
Bacteria:Bdellovibrionota:Oligoflexia:Silvanigrellales	Bacteria:Bdellovibrionota:Oligoflexia:Silvanigrellales	647	344	303	295	351	306	354	560	293	52	11	32	46	39	35	29	25	34	44	43	32	28	58	41	26	39	31	26	65	43	27	38	32	33	50	40
Bacteria:Pseudomonadota:Gammaproteobacteria:Granulosicoccales	Bacteria:Pseudomonadota:Gammaproteobacteria:Granulosicoccales	645	455	346	600	775	1038	581	858	543	60	19	40	44	97	110	23	39	100	52	57	63	22	70	63	25	62	67	60	80	115	19	72	44	33	71	104
Bacteria:Pseudomonadota:Alphaproteobacteria:Minwuiales	Bacteria:Pseudomonadota:Alphaproteobacteria:Minwuiales	621	432	559	1441	2624	2993	542	1092	1364	197	100	69	119	205	255	139	62	278	55	112	151	26	136	138	61	143	155	139	88	215	14	117	71	42	90	247
Bacteria:Bacillota_D:Natranaerobiia:Natranaerobiales	Bacteria:Bacillota_D:Natranaerobiia:Natranaerobiales	585	445	278	226	248	250	489	582	269	60	17	31	43	20	19	30	32	16	47	39	13	36	31	18	47	30	14	16	66	29	19	21	26	40	36	20
Bacteria:Pseudomonadota:Gammaproteobacteria:AKS1	Bacteria:Pseudomonadota:Gammaproteobacteria:AKS1	580	365	623	2164	3164	3685	1472	2070	2244	79	42	141	78	312	352	49	96	344	60	197	230	50	200	195	50	220	276	251	177	305	49	222	133	65	172	282
Bacteria:Pseudomonadota:Gammaproteobacteria:Thiomicrospirales	Bacteria:Pseudomonadota:Gammaproteobacteria:Thiomicrospirales	575	490	328	671	759	1034	648	947	693	64	16	74	72	99	118	48	56	110	54	85	68	51	96	60	54	83	88	83	132	127	35	81	67	60	98	107
Bacteria:Pseudomonadota:Gammaproteobacteria:Francisellales	Bacteria:Pseudomonadota:Gammaproteobacteria:Francisellales	564	371	294	201	299	426	510	436	246	64	13	24	45	33	39	30	28	36	31	40	31	25	48	19	26	28	19	26	63	47	22	29	35	22	50	27
Bacteria:Bacillota_A:Clostridia:Saccharofermentanales	Bacteria:Bacillota_A:Clostridia:Saccharofermentanales	548	319	229	123	254	163	376	372	103	43	10	17	40	23	12	25	18	14	28	27	8	26	29	15	24	25	15	11	53	27	15	20	18	28	43	29
Bacteria:Pseudomonadota:Alphaproteobacteria:Rickettsiales	Bacteria:Pseudomonadota:Alphaproteobacteria:Rickettsiales	547	233	506	315	376	429	540	616	441	57	17	29	35	29	35	45	26	22	39	40	34	34	46	38	31	30	30	26	58	63	20	32	40	33	62	40
Bacteria:Bacillota:Bacilli:Mycoplasmatales	Bacteria:Bacillota:Bacilli:Mycoplasmatales	545	265	204	122	97	138	301	293	42	40	10	10	30	6	2	23	14	6	28	21	8	21	29	18	18	7	6	8	37	23	12	7	15	20	32	12
Bacteria:Marinisomatota:Marinisomatia:Marinisomatales	Bacteria:Marinisomatota:Marinisomatia:Marinisomatales	544	267	391	103	243	200	608	510	268	60	15	23	33	20	20	22	28	20	41	32	24	23	36	21	29	27	10	12	55	31	13	25	36	33	43	23
Bacteria:Cyanobacteriota:Cyanobacteriia:Gloeomargaritales	Bacteria:Cyanobacteriota:Cyanobacteriia:Gloeomargaritales	538	374	167	101	161	322	298	451	211	41	8	26	37	29	28	18	17	35	22	33	20	36	32	25	25	19	25	19	43	49	11	26	23	30	43	21
Archaea:Thermoplasmatota:Poseidoniia:Poseidoniales	Archaea:Thermoplasmatota:Poseidoniia:Poseidoniales	491	194	136	32	38	114	123	186	67	16	7	7	15	1	5	13	11	6	26	11	6	16	18	7	13	6	6	3	23	5	8	7	14	11	21	5
Bacteria:Pseudomonadota:Gammaproteobacteria:UBA6429	Bacteria:Pseudomonadota:Gammaproteobacteria:UBA6429	489	367	368	1103	2062	2259	1235	1166	1314	53	26	77	61	195	193	40	49	202	42	132	132	21	127	122	42	134	151	144	112	214	37	121	87	45	126	174
Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-16500	Bacteria:Pseudomonadota:Gammaproteobacteria:DSM-16500	479	353	254	242	202	214	313	406	154	42	10	31	28	27	38	26	27	35	27	34	25	33	54	32	29	21	21	15	42	33	22	23	30	31	45	29
Bacteria:Pseudomonadota:Gammaproteobacteria:XJ16	Bacteria:Pseudomonadota:Gammaproteobacteria:XJ16	478	272	275	248	473	675	534	416	263	36	16	15	36	46	52	22	18	64	32	36	33	13	51	40	23	44	41	30	54	46	14	29	17	31	44	57
Bacteria:Pseudomonadota:Alphaproteobacteria:Tistrellales	Bacteria:Pseudomonadota:Alphaproteobacteria:Tistrellales	474	231	321	612	1207	1473	539	459	759	134	78	48	74	92	112	97	30	111	41	80	83	13	80	79	39	89	73	56	55	129	17	59	37	35	56	101
Bacteria:Bacillota:Bacilli:Bacillales_I	Bacteria:Bacillota:Bacilli:Bacillales_I	413	250	161	130	112	106	242	264	109	43	6	19	32	15	22	25	14	15	32	28	19	21	32	16	25	16	8	7	26	21	13	15	12	25	37	12
Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-7407	Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-7407	409	279	196	216	365	498	404	486	404	55	15	31	43	43	41	18	29	38	33	44	24	25	36	24	31	32	24	22	65	52	18	28	29	28	57	36
Archaea:Micrarchaeota:Micrarchaeia:Micrarchaeales	Archaea:Micrarchaeota:Micrarchaeia:Micrarchaeales	388	140	31	53	21	11	108	90	5	20	3	5	10	1	3	15	6	1	41	9	1	52	19	5	27	3	1	0	16	4	3	5	10	5	11	4
Bacteria:Bacillota:Bacilli:Exiguobacterales	Bacteria:Bacillota:Bacilli:Exiguobacterales	387	308	189	260	262	213	389	452	254	39	10	14	42	14	25	25	18	22	40	24	12	25	31	23	24	21	16	10	55	35	17	15	27	26	35	22
Bacteria:Bacillota:Bacilli:Rubeoparvulales	Bacteria:Bacillota:Bacilli:Rubeoparvulales	375	234	91	123	129	166	180	149	123	32	2	12	27	13	20	25	17	17	20	23	13	19	22	13	23	11	16	14	24	21	16	5	11	21	19	19
Bacteria:Actinomycetota:Actinomycetia:Motilibacterales	Bacteria:Actinomycetota:Actinomycetia:Motilibacterales	364	292	2731	11316	12807	21626	2082	5576	16048	38	13	417	50	829	868	24	235	961	47	358	515	10	203	266	14	688	775	673	328	1371	53	466	395	44	492	856
Bacteria:Pseudomonadota:Gammaproteobacteria:Cardiobacteriales	Bacteria:Pseudomonadota:Gammaproteobacteria:Cardiobacteriales	363	311	187	273	368	529	279	383	321	38	13	27	40	47	55	15	21	50	34	40	30	18	33	26	21	23	42	26	45	47	14	31	41	22	34	54
Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-9006	Bacteria:Cyanobacteriota:Cyanobacteriia:PCC-9006	355	175	126	119	288	352	297	385	169	38	5	16	25	17	20	13	13	23	27	21	21	17	26	14	14	23	12	15	40	33	12	19	23	27	18	18
Bacteria:Pseudomonadota:Alphaproteobacteria:SP197	Bacteria:Pseudomonadota:Alphaproteobacteria:SP197	342	232	183	332	789	704	324	378	318	85	75	15	66	56	65	72	22	65	31	43	48	9	46	60	32	46	45	46	46	63	6	39	21	27	29	82
Archaea:Unclassified:Unclassified:Unclassified	Archaea:Unclassified:Unclassified:Unclassified	327	85	64	8	21	10	99	132	16	28	10	9	12	2	3	13	6	0	30	7	4	26	20	8	28	6	4	1	16	2	5	6	9	8	16	5
Bacteria:Actinomycetota:Actinomycetia:Sporichthyales	Bacteria:Actinomycetota:Actinomycetia:Sporichthyales	322	220	839	2620	3402	5670	638	1478	3440	30	6	81	36	202	227	7	58	248	31	91	115	6	70	69	9	156	181	161	82	353	19	133	98	25	118	213
Bacteria:Actinomycetota:Actinomycetia:Nanopelagicales	Bacteria:Actinomycetota:Actinomycetia:Nanopelagicales	322	308	815	2177	2197	5008	632	1271	3010	32	4	64	32	151	198	20	40	164	38	100	96	13	44	114	20	108	139	130	79	296	19	109	94	27	76	164
