DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       O2                        O2_dry                    ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-20                12:10:45.634              139.46580596              3347.179343               140.46580596              1653073845.635            0                         963                       1.3999868774E+02          4.4929557800E+01          2.5875000000E+01          4.4899711609E+01          4.4820732117E+01          4.6000000000E+01          0.0000000000E+00          3.7332042969E+04          0.0000000000E+00          2.2788669672E-01          2.3247814327E-01          2.3247814327E-01          2.3247814327E-01          2.3126959158E-01          2.3590626581E-01          2.3590626581E-01          2.3590626581E-01          4.3021669949E+02          4.3685592200E+02          2.0607599785E+00          2.0839972414E+00          8.8349018182E-01          3.2118516317E+00          2.1086026213E+01          2.1297807054E+01          0.0000000000E+00          4.8908725766E-01          5.8131255226E+01          8.7244359011E-01          5.3073360478E+01          4.4387969622E+02          3.1603194934E+00          
2022-05-20                12:10:46.661              139.46581785              3347.179628               140.46581785              1653073846.662            0                         963                       1.4000132134E+02          4.4929557800E+01          2.5858958838E+01          4.4899711609E+01          4.4820732117E+01          4.7000000000E+01          0.0000000000E+00          3.7335257623E+04          0.0000000000E+00          2.0652163522E-01          2.3031510094E-01          2.3031510094E-01          2.3031510094E-01          2.0957127814E-01          2.3371168350E-01          2.3371168350E-01          2.3371168350E-01          4.3010062931E+02          4.3674540091E+02          2.0610170780E+00          2.0842828198E+00          8.8445196016E-01          3.2823602654E+00          2.1086026213E+01          2.1298031609E+01          0.0000000000E+00          4.0196537035E-01          5.8131255226E+01          1.1840973900E+00          5.3073360478E+01          4.4387969622E+02          3.1603194934E+00          
2022-05-20                12:10:47.453              139.46582701              3347.179848               140.46582701              1653073847.454            0                         963                       1.4000132134E+02          4.4929557800E+01          2.5858958838E+01          4.4899711609E+01          4.4820732117E+01          4.7000000000E+01          0.0000000000E+00          3.7335257623E+04          0.0000000000E+00          2.0652564386E-01          2.2848514270E-01          2.2848514270E-01          2.2848514270E-01          2.0957793775E-01          2.3185524152E-01          2.3185524152E-01          2.3185524152E-01          4.3001115031E+02          4.3666019945E+02          2.0612141252E+00          2.0845018211E+00          8.8519369653E-01          3.3368727701E+00          2.1086026213E+01          2.1298204779E+01          0.0000000000E+00          4.0196537035E-01          5.8131255226E+01          1.1840973900E+00          5.3073360478E+01          4.4387969622E+02          3.1603194934E+00          
2022-05-20                12:10:47.789              139.46583089              3347.179941               140.46583089              1653073847.789            0                         963                       1.4000021362E+02          4.4929557800E+01          2.5812500000E+01          4.4899711609E+01          4.4820732117E+01          2.5000000000E+01          0.0000000000E+00          3.7335726562E+04          0.0000000000E+00          2.1709885256E-01          2.2767183626E-01          2.2767183626E-01          2.2767183626E-01          2.2031920700E-01          2.3103123906E-01          2.3103123906E-01          2.3103123906E-01          4.2997362875E+02          4.3662449165E+02          2.0612970079E+00          2.0845939861E+00          8.8550788405E-01          3.3600244481E+00          2.1085514557E+01          2.1297761219E+01          0.0000000000E+00          4.0196537035E-01          5.8131255226E+01          1.1840973900E+00          5.3073360478E+01          4.4415165395E+02          3.1603194934E+00          
2022-05-20                12:10:48.835              139.46584301              3347.180232               140.46584301              1653073848.836            0                         963                       1.3999774598E+02          4.4930084284E+01          2.5871216707E+01          4.4904071263E+01          4.4824278954E+01          4.7000000000E+01          0.0000000000E+00          3.7332961259E+04          0.0000000000E+00          2.5014370239E-01          2.2916996067E-01          2.2916996067E-01          2.2916996067E-01          2.5389007521E-01          2.3255516147E-01          2.3255516147E-01          2.3255516147E-01          4.2985540640E+02          4.3651192098E+02          2.0616105366E+00          2.0849371523E+00          8.8648850137E-01          3.4323646114E+00          2.1085514557E+01          2.1297990137E+01          0.0000000000E+00          4.8013963458E-01          5.8131255226E+01          8.3568641945E-01          5.3073360478E+01          4.4415165395E+02          3.1603194934E+00          
2022-05-20                12:10:49.634              139.46585226              3347.180454               140.46585226              1653073849.635            0                         963                       1.3999774598E+02          4.4930084284E+01          2.5871216707E+01          4.4904071263E+01          4.4824278954E+01          4.7000000000E+01          0.0000000000E+00          3.7332961259E+04          0.0000000000E+00          2.5014773747E-01          2.3048107172E-01          2.3048107172E-01          2.3048107172E-01          2.5389737422E-01          2.3388904976E-01          2.3388904976E-01          2.3388904976E-01          4.2976513841E+02          4.3642596297E+02          2.0618516704E+00          2.0852009319E+00          8.8723688613E-01          3.4873589601E+00          2.1085514557E+01          2.1298164833E+01          0.0000000000E+00          4.8013963458E-01          5.8131255226E+01          8.3568641945E-01          5.3073360478E+01          4.4415165395E+02          3.1603194934E+00          
2022-05-20                12:10:50.243              139.46585931              3347.180623               140.46585931              1653073850.244            0                         963                       1.3999587427E+02          4.4931297302E+01          2.5875000000E+01          4.4914115906E+01          4.4832450867E+01          2.0000000000E+00          0.0000000000E+00          3.7327946490E+04          0.0000000000E+00          2.3006753364E-01          2.3045674595E-01          2.3045674595E-01          2.3045674595E-01          2.3350168485E-01          2.3386626359E-01          2.3386626359E-01          2.3386626359E-01          4.2968746344E+02          4.3635143417E+02          2.0620277101E+00          2.0853941484E+00          8.8779457127E-01          3.5289377265E+00          2.1100301685E+01          2.1313234340E+01          0.0000000000E+00          4.8013963458E-01          5.8131255226E+01          8.3568641945E-01          5.3356470562E+01          4.4415165395E+02          3.5232249147E+00          
2022-05-20                12:10:50.907              139.46586699              3347.180808               140.46586699              1653073850.908            0                         963                       1.3999742635E+02          4.4931297302E+01          2.5875000000E+01          4.4914115906E+01          4.4832450867E+01          4.6000000000E+01          0.0000000000E+00          3.7326562500E+04          0.0000000000E+00          2.0820298139E-01          2.2922042570E-01          2.2922042570E-01          2.2922042570E-01          2.1130301444E-01          2.3261274975E-01          2.3261274975E-01          2.3261274975E-01          4.2961239670E+02          4.3630133076E+02          2.0622297162E+00          2.0856895976E+00          8.9122160741E-01          3.5117449904E+00          2.1100301685E+01          2.1314034757E+01          0.0000000000E+00          4.8013963458E-01          5.8050779679E+01          8.3568641945E-01          5.3356470562E+01          4.4415165395E+02          3.5232249147E+00          
2022-05-20                12:10:51.924              139.46587875              3347.181090               140.46587875              1653073851.924            0                         963                       1.4000232525E+02          4.4931297302E+01          2.5844430993E+01          4.4914115906E+01          4.4832450867E+01          4.7000000000E+01          0.0000000000E+00          3.7331173407E+04          0.0000000000E+00          1.7474900981E-01          2.2635350907E-01          2.2635350907E-01          2.2635350907E-01          1.7733259050E-01          2.2970326768E-01          2.2970326768E-01          2.2970326768E-01          4.2953505002E+02          4.3626275801E+02          2.0625414089E+00          2.0861443524E+00          8.9647181539E-01          3.4855202861E+00          2.1093121524E+01          2.1308005894E+01          0.0000000000E+00          3.3025571862E-01          5.8050779679E+01          8.7506039637E-01          5.3356470562E+01          4.4415165395E+02          3.5232249147E+00          
2022-05-20                12:10:52.706              139.46588780              3347.181307               140.46588780              1653073852.706            0                         963                       1.4000232525E+02          4.4931297302E+01          2.5844430993E+01          4.4914115906E+01          4.4832450867E+01          4.7000000000E+01          0.0000000000E+00          3.7331173407E+04          0.0000000000E+00          1.7478208370E-01          2.2377493780E-01          2.2377493780E-01          2.2377493780E-01          1.7737797051E-01          2.2708700283E-01          2.2708700283E-01          2.2708700283E-01          4.2947226628E+02          4.3622977049E+02          2.0627759475E+00          2.0864890117E+00          9.0050913461E-01          3.4654877835E+00          2.1093121524E+01          2.1308947997E+01          0.0000000000E+00          3.3025571862E-01          5.8050779679E+01          8.7506039637E-01          5.3356470562E+01          4.4415165395E+02          3.5232249147E+00          
2022-05-20                12:10:53.213              139.46589367              3347.181448               140.46589367              1653073853.213            0                         963                       1.3999290049E+02          4.4931297302E+01          2.5812500000E+01          4.4914115906E+01          4.4832450867E+01          2.5000000000E+01          0.0000000000E+00          3.7327633018E+04          0.0000000000E+00          2.0655957785E-01          2.2295515876E-01          2.2295515876E-01          2.2295515876E-01          2.0967502318E-01          2.2625786094E-01          2.2625786094E-01          2.2625786094E-01          4.2943162247E+02          4.3620844709E+02          2.0629256525E+00          2.0867101168E+00          9.0312718792E-01          3.4527654531E+00          2.1093121524E+01          2.1309558791E+01          0.0000000000E+00          3.3025571862E-01          5.8050779679E+01          8.7506039637E-01          5.3356470562E+01          4.4449530868E+02          3.5232249147E+00          
2022-05-20                12:10:54.302              139.46590628              3347.181751               140.46590628              1653073854.303            0                         963                       1.3999616668E+02          4.4931504792E+01          2.5820369249E+01          4.4915844989E+01          4.4833822606E+01          4.7000000000E+01          0.0000000000E+00          3.7324646205E+04          0.0000000000E+00          2.7488681720E-01          2.2531568869E-01          2.2531568869E-01          2.2531568869E-01          2.7912957685E-01          2.2866112075E-01          2.2866112075E-01          2.2866112075E-01          4.2936138088E+02          4.3618001840E+02          2.0628198582E+00          2.0867529102E+00          9.0878248780E-01          3.4257353828E+00          2.1064375443E+01          2.1281829081E+01          0.0000000000E+00          5.3065686871E-01          5.8050779679E+01          8.9027558620E-01          5.3356470562E+01          4.4449530868E+02          3.5232249147E+00          
2022-05-20                12:10:55.105              139.46591558              3347.181974               140.46591558              1653073855.106            0                         963                       1.3999616668E+02          4.4931504792E+01          2.5820369249E+01          4.4915844989E+01          4.4833822606E+01          4.7000000000E+01          0.0000000000E+00          3.7324646205E+04          0.0000000000E+00          2.7492083428E-01          2.2747243415E-01          2.2747243415E-01          2.2747243415E-01          2.7918375304E-01          2.3085775694E-01          2.3085775694E-01          2.3085775694E-01          4.2929689364E+02          4.3614613706E+02          2.0627324078E+00          2.0867748483E+00          9.1293134543E-01          3.4051633840E+00          2.1064375443E+01          2.1282795126E+01          0.0000000000E+00          5.3065686871E-01          5.8050779679E+01          8.9027558620E-01          5.3356470562E+01          4.4449530868E+02          3.5232249147E+00          
2022-05-20                12:10:55.742              139.46592294              3347.182151               140.46592294              1653073855.742            0                         963                       1.4000111217E+02          4.4932945251E+01          2.5819563356E+01          4.4927848816E+01          4.4843345642E+01          2.0000000000E+00          0.0000000000E+00          3.7327023839E+04          0.0000000000E+00          2.6277588397E-01          2.2894341122E-01          2.2894341122E-01          2.2894341122E-01          2.6685582307E-01          2.3235767636E-01          2.3235767636E-01          2.3235767636E-01          4.2924579434E+02          4.3611928024E+02          2.0626640471E+00          2.0867931573E+00          9.1621808731E-01          3.3887679775E+00          2.1064375443E+01          2.1283560255E+01          0.0000000000E+00          5.3065686871E-01          5.8050779679E+01          8.9027558620E-01          5.4987309006E+01          4.4449530868E+02          3.3823237857E+00          
2022-05-20                12:10:56.404              139.46593060              3347.182334               140.46593060              1653073856.404            0                         963                       1.4000132020E+02          4.4932945251E+01          2.5812500000E+01          4.4927848816E+01          4.4843345642E+01          4.6000000000E+01          0.0000000000E+00          3.7328168538E+04          0.0000000000E+00          2.5009926115E-01          2.2978964522E-01          2.2978964522E-01          2.2978964522E-01          2.5397025540E-01          2.3322217952E-01          2.3322217952E-01          2.3322217952E-01          4.2917561909E+02          4.3604486984E+02          2.0625751017E+00          2.0866923003E+00          9.1578451927E-01          3.2672618051E+00          2.1092817225E+01          2.1312202830E+01          0.0000000000E+00          5.3065686871E-01          5.7991176595E+01          8.9027558620E-01          5.4987309006E+01          4.4449530868E+02          3.3823237857E+00          
2022-05-20                12:10:57.430              139.46594248              3347.182619               140.46594248              1653073857.430            0                         963                       1.3999099077E+02          4.4932945251E+01          2.5812500000E+01          4.4927848816E+01          4.4843345642E+01          4.7000000000E+01          0.0000000000E+00          3.7314405134E+04          0.0000000000E+00          2.3046484054E-01          2.2981561427E-01          2.2981561427E-01          2.2981561427E-01          2.3401259599E-01          2.3325258016E-01          2.3325258016E-01          2.3325258016E-01          4.2886050529E+02          4.3571995899E+02          2.0624780425E+00          2.0865774789E+00          9.1516004450E-01          3.0794283571E+00          2.1092817225E+01          2.1312057265E+01          0.0000000000E+00          4.4003797086E-01          5.7991176595E+01          8.2505286844E-01          5.4987309006E+01          4.4449530868E+02          3.3823237857E+00          
2022-05-20                12:10:58.221              139.46595164              3347.182839               140.46595164              1653073858.222            0                         963                       1.3999099077E+02          4.4932945251E+01          2.5812500000E+01          4.4927848816E+01          4.4843345642E+01          4.7000000000E+01          0.0000000000E+00          3.7314405134E+04          0.0000000000E+00          2.3046542274E-01          2.2983968125E-01          2.2983968125E-01          2.2983968125E-01          2.3401129622E-01          2.3328068075E-01          2.3328068075E-01          2.3328068075E-01          4.2861728879E+02          4.3546918526E+02          2.0624019955E+00          2.0864877090E+00          9.1467800631E-01          2.9345608354E+00          2.1092817225E+01          2.1311944898E+01          0.0000000000E+00          4.4003797086E-01          5.7991176595E+01          8.2505286844E-01          5.4987309006E+01          4.4449530868E+02          3.3823237857E+00          
2022-05-20                12:10:58.660              139.46595671              3347.182961               140.46595671              1653073858.660            0                         963                       1.4000375720E+02          4.4932945251E+01          2.5812500000E+01          4.4927848816E+01          4.4843345642E+01          2.5000000000E+01          0.0000000000E+00          3.7320131785E+04          0.0000000000E+00          2.2711804019E-01          2.2974247978E-01          2.2974247978E-01          2.2974247978E-01          2.3060825942E-01          2.3318523713E-01          2.3318523713E-01          2.3318523713E-01          4.2848651715E+02          4.3533429580E+02          2.0623641133E+00          2.0864422871E+00          9.1441701345E-01          2.8544751680E+00          2.1086537477E+01          2.1305537788E+01          0.0000000000E+00          4.4003797086E-01          5.7991176595E+01          8.2505286844E-01          5.4987309006E+01          4.4436273122E+02          3.3823237857E+00          
2022-05-20                12:10:59.838              139.46597036              3347.183289               140.46597036              1653073859.839            0                         963                       1.4000383106E+02          4.4933878291E+01          2.5812500000E+01          4.4934578939E+01          4.4848882698E+01          4.7000000000E+01          0.0000000000E+00          3.7324937122E+04          0.0000000000E+00          2.1810322960E-01          2.2934112633E-01          2.2934112633E-01          2.2934112633E-01          2.2144373261E-01          2.3278035767E-01          2.3278035767E-01          2.3278035767E-01          4.2812446746E+02          4.3496100813E+02          2.0629514539E+00          2.0870174374E+00          9.1369950173E-01          2.6387394844E+00          2.1086537477E+01          2.1305370572E+01          0.0000000000E+00          4.1630561586E-01          5.7991176595E+01          8.6331121323E-01          5.4987309006E+01          4.4436273122E+02          3.3823237857E+00          
