DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       O2                        O2_dry                    ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-05-20                13:11:11.539              139.50777245              3348.186539               140.50777245              1653077471.540            0                         963                       1.4000019840E+02          4.5000755310E+01          2.7312500000E+01          4.5169059753E+01          4.5001609802E+01          4.7000000000E+01          0.0000000000E+00          3.7210343892E+04          0.0000000000E+00          3.3738333675E-01          3.5343770580E-01          3.5151946894E-01          3.5515315667E-01          3.4540226471E-01          3.6185358197E-01          3.5986080471E-01          3.6280338119E-01          4.5313444834E+02          4.6413569294E+02          2.4687418309E+00          2.5124574208E+00          1.3777698592E+00          9.3446266240E-01          2.1078734753E+01          2.1404023849E+01          0.0000000000E+00          6.6290324839E-01          6.1186937197E+01          1.4648794831E+00          8.2647451530E+01          5.3168475184E+02          1.8004930115E+00          
2022-05-20                13:11:12.335              139.50778167              3348.186760               140.50778167              1653077472.336            0                         963                       1.4000019840E+02          4.5000755310E+01          2.7312500000E+01          4.5169059753E+01          4.5001609802E+01          4.7000000000E+01          0.0000000000E+00          3.7210343892E+04          0.0000000000E+00          3.3734921500E-01          3.5365467176E-01          3.5199266949E-01          3.5501260308E-01          3.4533643014E-01          3.6207565975E-01          3.6034623305E-01          3.6266759441E-01          4.5319913424E+02          4.6415934494E+02          2.4692606684E+00          2.5128176052E+00          1.3725630038E+00          7.6000864597E-01          2.1078734753E+01          2.1402846159E+01          0.0000000000E+00          6.6290324839E-01          6.1186937197E+01          1.4648794831E+00          8.2647451530E+01          5.3168475184E+02          1.8004930115E+00          
2022-05-20                13:11:12.917              139.50778840              3348.186922               140.50778840              1653077472.918            0                         963                       1.4000188441E+02          4.5000755310E+01          2.7312500000E+01          4.5169059753E+01          4.5001609802E+01          2.0000000000E+00          0.0000000000E+00          3.7212657066E+04          0.0000000000E+00          3.4407727746E-01          3.5379772918E-01          3.5255218984E-01          3.5488935267E-01          3.5220722483E-01          3.6222133441E-01          3.6091988119E-01          3.6254946380E-01          4.5325547435E+02          4.6418590615E+02          2.4696502485E+00          2.5130913640E+00          1.3687760104E+00          6.3254156536E-01          2.1064401758E+01          2.1387432247E+01          0.0000000000E+00          6.6290324839E-01          6.1186937197E+01          1.4648794831E+00          8.0684513494E+01          5.3168475184E+02          6.2439365921E-01          
2022-05-20                13:11:13.572              139.50779597              3348.187103               140.50779597              1653077473.572            0                         963                       1.3999862289E+02          4.5000755310E+01          2.7312500000E+01          4.5169059753E+01          4.5001609802E+01          4.6000000000E+01          0.0000000000E+00          3.7210652344E+04          0.0000000000E+00          3.5166769978E-01          3.5374311304E-01          3.5297904495E-01          3.5483348936E-01          3.5999502878E-01          3.6216424965E-01          3.6135782395E-01          3.6249999802E-01          4.5330868310E+02          4.6425480188E+02          2.4700759965E+00          2.5135814243E+00          1.3705364514E+00          7.8424469238E-01          2.1064401758E+01          2.1387830294E+01          0.0000000000E+00          6.6290324839E-01          6.1245713686E+01          1.4648794831E+00          8.0684513494E+01          5.3168475184E+02          6.2439365921E-01          
2022-05-20                13:11:14.621              139.50780812              3348.187395               140.50780812              1653077474.622            0                         963                       1.3999422032E+02          4.5000814720E+01          2.7312500000E+01          4.5169000344E+01          4.5001580097E+01          4.7000000000E+01          0.0000000000E+00          3.7205461278E+04          0.0000000000E+00          3.6385392678E-01          3.5350536440E-01          3.5331717988E-01          3.5496880544E-01          3.7249919944E-01          3.6192045729E-01          3.6170501612E-01          3.6264510506E-01          4.5327926791E+02          4.6424784095E+02          2.4707659440E+00          2.5143749315E+00          1.3733671550E+00          1.0278020591E+00          2.1064560382E+01          2.1388631349E+01          0.0000000000E+00          7.1659734031E-01          6.1245713686E+01          1.4919493284E+00          8.0684513494E+01          5.3168475184E+02          6.2439365921E-01          
2022-05-20                13:11:15.408              139.50781723              3348.187614               140.50781723              1653077475.409            0                         963                       1.3999422032E+02          4.5000814720E+01          2.7312500000E+01          4.5169000344E+01          4.5001580097E+01          4.7000000000E+01          0.0000000000E+00          3.7205461278E+04          0.0000000000E+00          3.6386335462E-01          3.5374049485E-01          3.5327723149E-01          3.5510415331E-01          3.7252246928E-01          3.6216117775E-01          3.6166484620E-01          3.6279026849E-01          4.5325727784E+02          4.6424268428E+02          2.4712838419E+00          2.5149705105E+00          1.3754892889E+00          1.2102781191E+00          2.1064560382E+01          2.1389111030E+01          0.0000000000E+00          7.1659734031E-01          6.1245713686E+01          1.4919493284E+00          8.0684513494E+01          5.3168475184E+02          6.2439365921E-01          
2022-05-20                13:11:15.720              139.50782084              3348.187700               140.50782084              1653077475.721            0                         963                       1.3999476624E+02          4.5000877380E+01          2.7312500000E+01          4.5168937683E+01          4.5001548767E+01          2.5000000000E+01          0.0000000000E+00          3.7196976562E+04          0.0000000000E+00          3.6073284126E-01          3.5391978579E-01          3.5319698341E-01          3.5519759196E-01          3.6932000735E-01          3.6234473749E-01          3.6158329732E-01          3.6289277914E-01          4.5324855401E+02          4.6424063423E+02          2.4714893909E+00          2.5152068710E+00          1.3763306626E+00          1.2825931219E+00          2.1064560382E+01          2.1389301193E+01          0.0000000000E+00          7.1659734031E-01          6.1245713686E+01          1.4919493284E+00          8.0684513494E+01          5.3242501607E+02          6.2439365921E-01          
2022-05-20                13:11:16.769              139.50783297              3348.187991               140.50783297              1653077476.769            0                         963                       1.3999570227E+02          4.5000877380E+01          2.7312500000E+01          4.5168937683E+01          4.5001548767E+01          4.7000000000E+01          0.0000000000E+00          3.7196442030E+04          0.0000000000E+00          3.5021187557E-01          3.5403580520E-01          3.5316049568E-01          3.5522603963E-01          3.5855653098E-01          3.6246434067E-01          3.6154671026E-01          3.6292903943E-01          4.5321005470E+02          4.6422433052E+02          2.4722664256E+00          2.5160889930E+00          1.3791375326E+00          1.5254245990E+00          2.1079162708E+01          2.1404767818E+01          0.0000000000E+00          6.9131385537E-01          6.1245713686E+01          1.5704343785E+00          8.0684513494E+01          5.3242501607E+02          6.2439365921E-01          
2022-05-20                13:11:17.563              139.50784218              3348.188212               140.50784218              1653077477.564            0                         963                       1.3999570227E+02          4.5000877380E+01          2.7312500000E+01          4.5168937683E+01          4.5001548767E+01          4.7000000000E+01          0.0000000000E+00          3.7196442030E+04          0.0000000000E+00          3.5022136124E-01          3.5452303159E-01          3.5360040699E-01          3.5519509745E-01          3.5857947109E-01          3.6296516519E-01          3.6199821758E-01          3.6290494513E-01          4.5318784492E+02          4.6421912967E+02          2.4728635806E+00          2.5167660550E+00          1.3812819065E+00          1.7097466956E+00          2.1079162708E+01          2.1405252683E+01          0.0000000000E+00          6.9131385537E-01          6.1245713686E+01          1.5704343785E+00          8.0684513494E+01          5.3242501607E+02          6.2439365921E-01          
2022-05-20                13:11:18.191              139.50784944              3348.188387               140.50784944              1653077478.192            0                         963                       1.4000475264E+02          4.5000877380E+01          2.7312500000E+01          4.5168937683E+01          4.5001548767E+01          2.0000000000E+00          0.0000000000E+00          3.7203865301E+04          0.0000000000E+00          3.4833602961E-01          3.5496230393E-01          3.5401598100E-01          3.5515923786E-01          3.5665777363E-01          3.6341750833E-01          3.6242478529E-01          3.6287581415E-01          4.5317029694E+02          4.6421501882E+02          2.4733354360E+00          2.5173010663E+00          1.3829760090E+00          1.8553337340E+00          2.1079162708E+01          2.1405635687E+01          0.0000000000E+00          6.9131385537E-01          6.1245713686E+01          1.5704343785E+00          8.1480892864E+01          5.3242501607E+02          1.8477135074E+00          
